ID,Gender,Weight (kg),Height (cm),Size
1,Female,26.5,124.9,XL
2,Male,2.9,73.5,XS
3,Male,36.5,138.6,M
4,Male,43.5,170.1,XL
5,Male,42.2,150,M
6,Female,38.6,134.7,M
7,Male,32.4,147,M
8,Female,49.1,152.6,M
9,Female,15,73.9,XS
10,Male,23,128.2,XL
11,Female,36.5,170,XL
12,Female,13.3,80.4,S
13,Male,-7.6,51.1,XS
14,Female,33.6,128.8,M
15,Female,31.1,135.9,M
16,Male,13.1,70.9,XS
17,Female,-0.3,51.5,XS
18,Male,11.3,82.6,S
19,Male,5.7,55.9,XS
20,Male,35.2,169.4,XL
21,Male,41.9,169.4,XL
22,Male,10.4,71.6,XS
23,Female,19.7,50.8,XS
24,Female,29.9,103,S
25,Male,7.6,50.8,XS
26,Female,19.8,75.7,XS
27,Female,43.9,157.5,M
28,Male,-4.2,54.3,XS
29,Female,37.4,160.5,XL
30,Female,36.9,112.1,M
31,Male,28.4,125.5,XL
32,Female,0.9,48.6,XS
33,Male,34,133.7,M
34,Female,42,141.4,M
35,Female,18.7,81.6,S
36,Female,30.7,139.8,M
37,Female,7.9,50.6,XS
38,Male,16.7,89.9,S
39,Female,18.2,99.8,S
40,Male,3.5,50.4,XS
41,Female,15,105.8,S
42,Female,48.9,168,XL
43,Male,37.5,152.3,M
44,Male,26.4,113.4,S
45,Male,50.4,156,L
46,Female,12.8,82.4,S
47,Male,19.4,130.8,XL
48,Male,14.2,63,XS
49,Female,2.1,44.1,XS
50,Female,5,59.3,XS
51,Male,20.4,80.9,S
52,Male,37.6,148.7,M
53,Male,16.1,74.5,XS
54,Male,34.8,172.7,XL
55,Female,32,143.9,M
56,Female,8.7,81,XS
57,Male,19.5,101.4,S
58,Female,25,125.4,XL
59,Female,22.4,65.1,XS
60,Male,38.8,173,XL
61,Female,2.3,46.4,XS
62,Female,23.8,113.8,S
63,Female,33.1,138.6,M
64,Female,4.7,70.3,XS
65,Male,40.7,178.3,XL
66,Male,35.8,137.3,M
67,Female,21.8,102.7,S
68,Female,36.5,148.3,M
69,Male,27.1,130.6,XL
70,Female,23.8,94.9,S
71,Male,40.1,156.3,M
72,Male,9.5,56.7,XS
73,Male,14,61.5,XS
74,Female,21.2,101.7,S
75,Male,10.8,73.4,XS
76,Female,32.2,142.6,M
77,Male,8.6,55.2,XS
78,Male,19.7,110.1,S
79,Female,35.2,150.6,M
80,Male,34.4,156.8,M
81,Male,43,178.8,XL
82,Male,14,71.5,XS
83,Female,7.4,42.7,XS
84,Female,33.8,145.4,M
85,Female,44.2,127.9,M
86,Male,15.1,95.4,S
87,Male,35.4,142.4,M
88,Female,30.1,129.7,M
89,Female,47.8,181.3,XL
90,Male,32.4,123.6,M
91,Male,42.4,139.7,M
92,Female,46.6,158.2,M
93,Female,46.7,130.2,M
94,Male,30.3,120.3,M
95,Female,16.8,62.4,XS
96,Male,36.3,123.8,M
97,Male,32.4,138.7,M
98,Female,30.6,150.8,M
99,Female,13.7,77.2,XS
100,Male,35.4,151.9,M
101,Male,21.4,86.1,S
102,Male,4.7,78.4,XS
103,Male,15.7,65.3,XS
104,Male,31.8,109.2,M
105,Male,36,178.2,XL
106,Female,49.1,173,XL
107,Male,21.3,96.4,S
108,Male,24.8,130.3,XL
109,Female,31.8,155.4,M
110,Male,9.8,74.3,XS
111,Male,5.3,30.6,XS
112,Female,31.7,137.2,M
113,Male,37.8,165.3,XL
114,Male,40.2,169.5,XL
115,Male,32.4,139.5,M
116,Female,7.5,68.2,XS
117,Male,27.1,98.7,S
118,Male,26.1,117.2,S
119,Male,24.8,83.9,S
120,Male,34.9,130.2,M
121,Female,8.9,77.6,XS
122,Female,24,81.7,S
123,Female,33.3,146.3,M
124,Female,30.5,147.9,M
125,Male,30.5,127.4,M
126,Female,31.4,124.3,M
127,Male,34,121.1,M
128,Male,34.6,147.2,M
129,Female,3.6,47.5,XS
130,Female,18.6,85.1,S
131,Male,36.9,136.8,M
132,Male,30,94.5,M
133,Female,40.6,162.4,XL
134,Female,14.4,90.9,S
135,Male,8.2,53.6,XS
136,Male,10.7,51.1,XS
137,Female,12.7,96.8,S
138,Male,22.3,114.5,S
139,Male,31.2,115.4,M
140,Male,28.2,111.9,S
141,Male,19.1,106.2,S
142,Male,34.2,153.5,M
143,Male,10.3,89.8,S
144,Female,33.2,147.3,M
145,Female,26.4,126.9,XL
146,Male,33.2,126.3,M
147,Male,38.4,153.6,M
